"input_taxon","input_status","family","genus","hybrid_marker","species","infraspecific_rank","infraspecific","authority","taxonomic_status","acronym","taxa","use"
"Allium scorodoprasum ","Accepted","Amaryllidaceae","Allium","","scorodoprasum","","","L.","Accepted","ALLSCO","Allium  scorodoprasum  ","Bulb"
"Allium ampeloprasum L. (Wild leek)","Accepted","Amaryllidaceae","Allium","","ampeloprasum","","","L.","Accepted","ALLAMP","Allium  ampeloprasum  ","Bulb"
"Angelica archangelica L (Angelica)","Accepted","Apiaceae","Angelica","","archangelica","","","L.","Accepted","ANGARC","Angelica  archangelica  ","Stem"
"Armoracia rusticana (Lamm.) Gaertner. Mey & Scheb. (Horseradish)","Accepted","Brassicaceae","Armoracia","","rusticana","","","P.Gaertn., B.Mey. & Scherb.","Accepted","ARMRUS","Armoracia  rusticana  ","Root"
"Asparagus officinalis L. (Asparagus)","Accepted","Asparagaceae","Asparagus","","officinalis","","","L.","Accepted","ASPOFF","Asparagus  officinalis  ","Shoot"
"Atriplex hortensis L. (Garden orache)","Accepted","Amaranthaceae","Atriplex","","hortensis","","","L.","Accepted","ATRHOR","Atriplex  hortensis  ","Leafy"
"Beta vulgaris L. (Beet)","Accepted","Amaranthaceae","Beta","","vulgaris","","","L.","Accepted","BETVUL","Beta  vulgaris  ","Root"
"Brassica napus (L.) Mill. (Swede)","Accepted","Brassicaceae","Brassica","","napus","","","L.","Accepted","BRANAP","Brassica  napus  ","Root"
"Brassica nigra (L.) Koch. (Black mustard)","Accepted","Brassicaceae","Brassica","","nigra","","","(L.) K.Koch","Accepted","BRANIG","Brassica  nigra  ","Seed"
"Brassica rapa L.( Turnip)","Accepted","Brassicaceae","Brassica","","rapa","","","L.","Accepted","BRARAP","Brassica  rapa  ","Root"
"Campanula rapunculus L. (Bellflower)","Accepted","Campanulaceae","Campanula","","rapunculus","","","L.","Accepted","CAMRAP","Campanula  rapunculus  ","Leafy"
"Carum carvi L. (Caraway)","Accepted","Apiaceae","Carum","","carvi","","","L.","Accepted","CARCAR","Carum  carvi  ","Seed"
"Chaerophyllum bulbosum L. (Tulip chervil)","Accepted","Apiaceae","Chaerophyllum","","bulbosum","","","L.","Accepted","CHABUL","Chaerophyllum  bulbosum  ","Leafy"
"Chenopodium album L. (Fat-hen)","Accepted","Amaranthaceae","Chenopodium","","album","","","L.","Accepted","CHEALB","Chenopodium  album  ","Leafy"
"Chenopodium bonus-henricus L. (Allgood)","Accepted","Amaranthaceae","Chenopodium","","bonus-henricus","","","L.","Accepted","CHEBON","Chenopodium  bonus-henricus  ","Leafy"
"Chenopodium foliosum Asch. (Leafy goosefoot)","Accepted","Amaranthaceae","Chenopodium","","foliosum","","","Asch.","Accepted","CHEFOL","Chenopodium  foliosum  ","Leafy"
"Cichorium intybus L. (Chicory)","Accepted","Compositae","Cichorium","","intybus","","","L.","Accepted","CICINT","Cichorium  intybus  ","Leafy"
"Crambe maritima L (Sea kale)","Accepted","Brassicaceae","Crambe","","maritima","","","L.","Accepted","CRAMAR","Crambe  maritima  ","Leafy"
"Daucus carota L (Carrot)","Accepted","Apiaceae","Daucus","","carota","","","L.","Accepted","DAUCAR","Daucus  carota  ","Root"
"Humulus lupulus L. (Hops)","Accepted","Cannabaceae","Humulus","","lupulus","","","L.","Accepted","HUMLUP","Humulus  lupulus  ","Cops"
"Lathyrus tuberosum L. (Groundnut peavine)","Accepted","Leguminosae","Lathyrus","","tuberosus","","","L.","Accepted","LATTUB","Lathyrus  tuberosus  ","Root"
"Levisticum officinale Koch. (Garden lovage)","Accepted","Apiaceae","Levisticum","","officinale","","","W.D.J.Koch","Accepted","LEVOFF","Levisticum  officinale  ","Leafy"
"Mentha spicata (L.) Huds. (Green mint)","Accepted","Lamiaceae","Mentha","","spicata","","","L.","Accepted","MENSPI","Mentha  spicata  ","Leafy"
"Mentha suaveolens Ehrh. (Apple mint)","Accepted","Lamiaceae","Mentha","","suaveolens","","","Ehrh.","Accepted","MENSUA","Mentha  suaveolens  ","Leafy"
"Myrrhis odorata (L.) Scop. (Garden myrrh)","Accepted","Apiaceae","Myrrhis","","odorata","","","(L.) Scop.","Accepted","MYRODO","Myrrhis  odorata  ","Leafy"
"Nasturtium officinale R. Br. (Watercress)","Accepted","Brassicaceae","Nasturtium","","officinale","","","R.Br.","Accepted","NASOFF","Nasturtium  officinale  ","Leafy"
"Origanum vulgare L. (Marjoram)","Accepted","Lamiaceae","Origanum","","vulgare","","","L.","Accepted","ORIVUL","Origanum  vulgare  ","Leafy"
"Pastinaca sativa L. (Parsnip)","Accepted","Apiaceae","Pastinaca","","sativa","","","L.","Accepted","PASSAT","Pastinaca  sativa  ","Root"
"Peucedanum ostruthium Coch. (Master wort)","Accepted","Apiaceae","Peucedanum","","ostruthium","","","(L.) W.D.J.Koch","Accepted","PEUOST","Peucedanum  ostruthium  ","Root"
"Rumex acetosa L. (Garden sorrel)","Accepted","Polygonaceae","Rumex","","acetosa","","","L.","Accepted","RUMACE","Rumex  acetosa  ","Leafy"
"Rumex patientia L. (Patience dock)","Accepted","Polygonaceae","Rumex","","patientia","","","L.","Accepted","RUMPAT","Rumex  patientia  ","Leafy"
"Sanguisorba minor Scop. (Small burnet)","Accepted","Rosaceae","Sanguisorba","","minor","","","Scop.","Accepted","SANMIN","Sanguisorba  minor  ","Leafy"
"Sanguisorba officinalis L. (Great burnet)","Accepted","Rosaceae","Sanguisorba","","officinalis","","","L.","Accepted","SANOFF","Sanguisorba  officinalis  ","Leafy"
"Rumex obtusifolus L. (broad-leaved dock)","Accepted","Polygonaceae","Rumex","","obtusifolius","","","L.","Accepted","RUMOBT","Rumex  obtusifolius  ","Leafy"
"Rumex scutatus L. (Fresnh sorrel)","Accepted","Polygonaceae","Rumex","","scutatus","","","L.","Accepted","RUMSCU","Rumex  scutatus  ","Leafy"
