"species","SRSex","GRSex","ERSex","FCSex","FCSex_class"
"ALLAMP",1.95530726256983,1.13557029039272,4.76190476190476,2.61759410495577,"HP"
"ALLSCO",0.903614457831325,0.184022157432445,7.40740740740741,2.83168134089039,"HP"
"ANGARC",13.5849056603774,3.6200822673079,37.9310344827586,18.3786741368146,"HP"
"ARMRUS",0.86848635235732,1.01613050595236,11.1111111111111,4.33190932314026,"HP"
"ASPOFF",13.7724550898204,1.11539798106176,21.7391304347826,12.2089945018882,"HP"
"ATRHOR",1.02739726027397,0.516489606629866,13.1578947368421,4.90059386791531,"HP"
"BETVUL",100,17.0568736564962,65.1162790697674,60.7243842420879,"LP"
"BRANAP",0.526870389884089,0.505618509877358,22.7272727272727,7.91992054234472,"HP"
"BRANIG",5.90277777777778,2.90223977648144,28.2051282051282,12.3367152531291,"HP"
"BRARAP",6.00858369098712,1.16813508887828,27.2727272727273,11.4831486841976,"HP"
"CAMRAP",0.702576112412178,0.89025775738255,14.6341463414634,5.40899340375271,"HP"
"CARCAR",30.9027777777778,7.5487824670622,40.4761904761905,26.3092502403435,"MP"
"CHABUL",0.464037122969838,0.417897783383967,5.71428571428571,2.19874020687984,"HP"
"CHEALB",3.50877192982456,1.65854308693389,28.2608695652174,11.1427281939919,"HP"
"CHEBON",0.977198697068404,0.513588461103787,21.875,7.78859571939073,"HP"
"CHEFOL",1.13636363636364,0.472473879026467,5.88235294117647,2.49706348552219,"HP"
"CICINT",29.2307692307692,9.50908406715598,60.4651162790698,33.0683231923317,"MP"
"CRAMAR",4.40677966101695,1.70186342034348,17.9487179487179,8.01912034335946,"HP"
"DAUCAR",100,26.9584871222938,74.4186046511628,67.1256972578189,"LP"
"HUMLUP",7.3943661971831,1.46245052119678,29.2682926829268,12.7083698004356,"HP"
"LATTUB",10.6951871657754,2.69142027587287,50,21.1288691472161,"HP"
"LEVOFF",0,0,0,0,"HP"
"MENSPI",0.224215246636771,0.209259808271372,4.65116279069767,1.69487928186861,"HP"
"MENSUA",1.53846153846154,1.5549631926989,10,4.36447491038681,"HP"
"MYRODO",3.06406685236769,1.55985603162891,25,9.8746409613322,"HP"
"NASOFF",0.92378752886836,0.843012264587143,14.2857142857143,5.35083802638993,"HP"
"ORIVUL",71.6510903426791,6.02572045459099,46.6666666666667,41.4478258213123,"MP"
"PASSAT",2.84738041002278,2.25499891352591,29.5454545454545,11.5492779563344,"HP"
"PEUOST",0,0,0,0,"HP"
"RUMACE",11.4699331848552,4.38212935116844,40,18.6173541786746,"HP"
"RUMOBT",5.30164533820841,1.96777125473188,11.1111111111111,6.12684256801713,"HP"
"RUMPAT",3.71900826446281,1.32312059685883,14.2857142857143,6.44261438234531,"HP"
"RUMSCU",0.662251655629139,0.47904826890218,9.52380952380952,3.55503648278028,"HP"
"SANMIN",2.61324041811847,1.96529008435441,35,13.1928435008243,"HP"
"SANOFF",9.51008645533141,2.89478139514616,13.953488372093,8.78611874085687,"HP"
