"acronym","SRSex","GRSex","ERSex","FCSex","FCSex_class","SRSin","GRSin","ERSin","FCSin","FCSin_class","FCS_min","FCS_max","FCSc_mean","FCS_min_class","FCS_max_class","FCSc_mean_class"
"ALLAMP",1.95530726256983,1.13557029039272,4.76190476190476,2.61759410495577,"HP",8.70870870870871,12.2485614131498,90.4761904761905,37.1444868660163,"MP",2.61759410495577,37.1444868660163,19.881040485486,"HP","MP","HP"
"ALLSCO",0.903614457831325,0.184022157432445,7.40740740740741,2.83168134089039,"HP",14.7482014388489,16.7517891682932,92.5925925925926,41.3641943999116,"MP",2.83168134089039,41.3641943999116,22.097937870401,"HP","MP","HP"
"ANGARC",13.5849056603774,3.6200822673079,37.9310344827586,18.3786741368146,"HP",8.63636363636364,15.7554540307689,93.1034482758621,39.1650886476649,"MP",18.3786741368146,39.1650886476649,28.7718813922397,"HP","MP","MP"
"ARMRUS",0.86848635235732,1.01613050595236,11.1111111111111,4.33190932314026,"HP",5.3030303030303,13.8628022671658,97.2222222222222,38.7960182641394,"MP",4.33190932314026,38.7960182641394,21.5639637936398,"HP","MP","HP"
"ASPOFF",13.7724550898204,1.11539798106176,21.7391304347826,12.2089945018882,"HP",15.0326797385621,12.819082331213,97.8260869565217,41.892616342099,"MP",12.2089945018882,41.892616342099,27.0508054219936,"HP","MP","MP"
"ATRHOR",1.02739726027397,0.516489606629866,13.1578947368421,4.90059386791531,"HP",11.0294117647059,14.4424633376865,92.1052631578947,39.1923794200957,"MP",4.90059386791531,39.1923794200957,22.0464866440055,"HP","MP","HP"
"BETVUL",100,17.0568736564962,65.1162790697674,60.7243842420879,"LP",13.3766233766234,13.3353553581599,95.3488372093023,40.6869386480285,"MP",40.6869386480285,60.7243842420879,50.7056614450582,"MP","LP","LP"
"BRANAP",0.526870389884089,0.505618509877358,22.7272727272727,7.91992054234472,"HP",7.69230769230769,14.0839783491386,93.1818181818182,38.3193680744215,"MP",7.91992054234472,38.3193680744215,23.1196443083831,"HP","MP","HP"
"BRANIG",5.90277777777778,2.90223977648144,28.2051282051282,12.3367152531291,"HP",11.0714285714286,13.771522988044,92.3076923076923,39.0502146223883,"MP",12.3367152531291,39.0502146223883,25.6934649377587,"HP","MP","MP"
"BRARAP",6.00858369098712,1.16813508887828,27.2727272727273,11.4831486841976,"HP",5.99078341013825,14.6089991294315,93.1818181818182,37.9272002404626,"MP",11.4831486841976,37.9272002404626,24.7051744623301,"HP","MP","HP"
"CAMRAP",0.702576112412178,0.89025775738255,14.6341463414634,5.40899340375271,"HP",14.5584725536993,12.5385338662517,95.1219512195122,40.7396525464877,"MP",5.40899340375271,40.7396525464877,23.0743229751202,"HP","MP","HP"
"CARCAR",30.9027777777778,7.5487824670622,40.4761904761905,26.3092502403435,"MP",7.11610486891386,15.743628966453,95.2380952380952,39.3659430244874,"MP",26.3092502403435,39.3659430244874,32.8375966324154,"MP","MP","MP"
"CHABUL",0.464037122969838,0.417897783383967,5.71428571428571,2.19874020687984,"HP",6.65083135391924,13.9013075301159,97.1428571428571,39.2316653422974,"MP",2.19874020687984,39.2316653422974,20.7152027745886,"HP","MP","HP"
"CHEALB",3.50877192982456,1.65854308693389,28.2608695652174,11.1427281939919,"HP",4.50643776824034,13.8134476153395,93.4782608695652,37.2660487510484,"MP",11.1427281939919,37.2660487510484,24.2043884725202,"HP","MP","HP"
"CHEBON",0.977198697068404,0.513588461103787,21.875,7.78859571939073,"HP",24.3243243243243,19.8769134335775,96.875,47.0254125859673,"MP",7.78859571939073,47.0254125859673,27.407004152679,"HP","MP","MP"
"CHEFOL",1.13636363636364,0.472473879026467,5.88235294117647,2.49706348552219,"HP",10.5263157894737,18.5269305007972,100,43.0177487634236,"MP",2.49706348552219,43.0177487634236,22.7574061244729,"HP","MP","HP"
"CICINT",29.2307692307692,9.50908406715598,60.4651162790698,33.0683231923317,"MP",14.2208774583964,12.9383080727321,93.0232558139535,40.060813781694,"MP",33.0683231923317,40.060813781694,36.5645684870128,"MP","MP","MP"
"CRAMAR",4.40677966101695,1.70186342034348,17.9487179487179,8.01912034335946,"HP",25.3393665158371,18.11135508089,92.3076923076923,45.2528046348065,"MP",8.01912034335946,45.2528046348065,26.635962489083,"HP","MP","MP"
"DAUCAR",100,26.9584871222938,74.4186046511628,67.1256972578189,"LP",20.4339963833635,14.5686834436143,93.0232558139535,42.6753118803104,"MP",42.6753118803104,67.1256972578189,54.9005045690647,"MP","LP","LP"
"HUMLUP",7.3943661971831,1.46245052119678,29.2682926829268,12.7083698004356,"HP",13.1578947368421,14.556547580695,95.1219512195122,40.9454645123498,"MP",12.7083698004356,40.9454645123498,26.8269171563927,"HP","MP","MP"
"LATTUB",10.6951871657754,2.69142027587287,50,21.1288691472161,"HP",14.4927536231884,11.4459303283681,92.1052631578947,39.3479823698171,"MP",21.1288691472161,39.3479823698171,30.2384257585166,"HP","MP","MP"
"LEVOFF",0,0,0,0,"HP",9.75609756097561,16.0676790245598,94.2857142857143,40.0364969570832,"MP",0,40.0364969570832,20.0182484785416,"HP","MP","HP"
"MENSPI",0.224215246636771,0.209259808271372,4.65116279069767,1.69487928186861,"HP",7.60095011876485,14.8392391717681,97.6744186046512,40.038202631728,"MP",1.69487928186861,40.038202631728,20.8665409567983,"HP","MP","HP"
"MENSUA",1.53846153846154,1.5549631926989,10,4.36447491038681,"HP",9.23482849604222,12.6054020653821,95,38.9467435204748,"MP",4.36447491038681,38.9467435204748,21.6556092154308,"HP","MP","HP"
"MYRODO",3.06406685236769,1.55985603162891,25,9.8746409613322,"HP",10.8187134502924,17.3540576285184,88.8888888888889,39.0205533225666,"MP",9.8746409613322,39.0205533225666,24.4475971419494,"HP","MP","HP"
"NASOFF",0.92378752886836,0.843012264587143,14.2857142857143,5.35083802638993,"HP",13.2029339853301,14.1071812839165,95.2380952380952,40.8494035024473,"MP",5.35083802638993,40.8494035024473,23.1001207644186,"HP","MP","HP"
"ORIVUL",71.6510903426791,6.02572045459099,46.6666666666667,41.4478258213123,"MP",18.6893203883495,16.0608488203342,91.1111111111111,41.9537601065983,"MP",41.4478258213123,41.9537601065983,41.7007929639553,"MP","MP","MP"
"PASSAT",2.84738041002278,2.25499891352591,29.5454545454545,11.5492779563344,"HP",9.55259975816203,14.3066277335298,95.4545454545455,39.7712576487458,"MP",11.5492779563344,39.7712576487458,25.6602678025401,"HP","MP","MP"
"PEUOST",0,0,0,0,"HP",16.8965517241379,19.3729923145836,94.7368421052632,43.6687953813282,"MP",0,43.6687953813282,21.8343976906641,"HP","MP","HP"
"RUMACE",11.4699331848552,4.38212935116844,40,18.6173541786746,"HP",12.5842696629213,16.618648274317,82.8571428571429,37.3533535981271,"MP",18.6173541786746,37.3533535981271,27.9853538884009,"HP","MP","MP"
"RUMOBT",5.30164533820841,1.96777125473188,11.1111111111111,6.12684256801713,"HP",17.1597633136095,15.4585223915103,93.3333333333333,41.9838730128177,"MP",6.12684256801713,41.9838730128177,24.0553577904174,"HP","MP","HP"
"RUMPAT",3.71900826446281,1.32312059685883,14.2857142857143,6.44261438234531,"HP",11.5702479338843,14.1830334370438,97.6190476190476,41.1241096633252,"MP",6.44261438234531,41.1241096633252,23.7833620228353,"HP","MP","HP"
"RUMSCU",0.662251655629139,0.47904826890218,9.52380952380952,3.55503648278028,"HP",33.2225913621262,15.3032109419477,95.2380952380952,47.921299180723,"MP",3.55503648278028,47.921299180723,25.7381678317516,"HP","MP","MP"
"SANMIN",2.61324041811847,1.96529008435441,35,13.1928435008243,"HP",15.7342657342657,14.44240250111,95,41.7255560784586,"MP",13.1928435008243,41.7255560784586,27.4591997896415,"HP","MP","MP"
"SANOFF",9.51008645533141,2.89478139514616,13.953488372093,8.78611874085687,"HP",15.1603498542274,14.7741130082774,93.0232558139535,40.9859062254861,"MP",8.78611874085687,40.9859062254861,24.8860124831715,"HP","MP","HP"
